タイトル,公開日,URL,長さ,ptitle,playlistId,有効
【理科】中3-13 生物の成長と細胞の変化①,2013-04-30T02:23:41.000Z,https://www.youtube.com/watch?v=fUmPT5LgM0I,0:07:56,中3-理科 2【生命の連続性】,PLKRhhk0lEyzNEv0rqaXMf2LrgBUpHQekG,
【英語】中1-0 アルファベットを覚えよう(大文字編),2018-03-03T05:49:54.000Z,https://www.youtube.com/watch?v=IbU3d2AzGFs,0:11:14,中1-英語(撮り直し中),PLKRhhk0lEyzPNma7si7F---XjoSmdZ-Jf,
【英語】中2-1 be動詞の過去形,2013-04-24T00:59:43.000Z,https://www.youtube.com/watch?v=saEFTlUu3WA,0:13:09,中2-英語,PLKRhhk0lEyzM0OGZHKMqryA4Jr6li_x0A,
【中３　英語】　　中３－１　　現在完了形①　・　完了編,2013-04-17T01:40:09.000Z,https://www.youtube.com/watch?v=yJUK8Y9oRaM,0:15:23,中3-英語,PLKRhhk0lEyzOVCHDtH6s4aa94Y-WHCINP,
【理科】中3-1 塩化銅水溶液の分解,2013-04-09T23:26:28.000Z,https://www.youtube.com/watch?v=mkB4VOqqH2g,0:12:00,中3-理科 1【化学変化とイオン】,PLKRhhk0lEyzO6hG-1yNVv78DiG4yly4gL,
【理科】中1-1 身近な生物の観察,2013-03-26T12:58:43.000Z,https://www.youtube.com/watch?v=FOePKu_-YfI,0:07:38,中1-理科 1【植物の世界】,PLKRhhk0lEyzP7syvHdFgFbOQiMAFo4864,
【数学】中2-73 平行四辺形の性質,2013-03-13T04:16:55Z,https://www.youtube.com/watch?v=4DGuhQPOYMo,0:15:21,中2-数学 6【四角形の証明】,PLKRhhk0lEyzNN_vaCmwzJNRIJ1LsBO0ml,
【数学】中2-56 三角形の合同① 基本編,2013-11-03T01:48:14.000Z,https://www.youtube.com/watch?v=603piZcff9w,0:12:14,中2-数学 5【三角形の証明】,PLKRhhk0lEyzN1DCAdf1l0qzINcdY8BKuO,
【中1 数学】中1-86 度数分布,2013-03-13T04:14:38.000Z,https://www.youtube.com/watch?v=Ucl70d0N0h0,0:10:57,中1-数学 7【資料の活用】,PLKRhhk0lEyzMRLuFWT2Tdbnr-J2gDhN64,
【理科】中2-1 炭酸水素ナトリウムを熱する実験 (撮り直ししました),2019-02-19T08:23:11.000Z,https://www.youtube.com/watch?v=DfbIj77JhS4,0:16:21,中2-理科 1【化学変化と原子・分子】,PLKRhhk0lEyzMxrry8_IYcX0-ArwN7xzhR,
【イントロダクション】中３数学-式の展開と因数分解,2019-09-02T11:21:46.000Z,https://www.youtube.com/watch?v=AuLiUt3doug,0:00:20,中3-数学 1【式の展開と因数分解】,PLKRhhk0lEyzPpKp5orhFasknD7p6lwKj4,
【中1 数学】中1-1 正の数・負の数①（自然数・整数）,2013-03-11T05:38:26.000Z,https://www.youtube.com/watch?v=n5ozHyyPYeE,0:12:04,中1-数学 1【正の数・負の数】,PLKRhhk0lEyzM6CvguRO-VYNk0yHbUGrz3,
【数学】中2-78 確率の意味,2013-03-12T23:17:29.000Z,https://www.youtube.com/watch?v=A3MkzHwnixw,0:08:43,中2-数学 7【確率】,PLKRhhk0lEyzOCHy8YyedNl7ibLM3ptEQ5,
【中１　理科】　　中１－４９　　火山の形,2013-03-12T23:18:45Z,https://www.youtube.com/watch?v=ihmF5ehyb4o,0:10:08,中1-理科 5【大地の変化】,PLKRhhk0lEyzOAuykqFcGCTyQoN8mBG4HZ,
【中２　理科】　　中２－５４　　気象の観測①,2013-03-12T23:26:06.000Z,https://www.youtube.com/watch?v=wYO-DokVlj0,0:13:32,中2-理科 5【天気とその変化】,PLKRhhk0lEyzNxSPUNtc_wNTnxzCJ3JiDc,
【数学】中2-1 単項式と多項式,2013-03-13T04:01:15.000Z,https://www.youtube.com/watch?v=XOpRZBjN2D4,0:10:34,中2-数学 1【式の計算】,PLKRhhk0lEyzPfFN5LF8JNRXhzt8kF7iKc,
【For you動画－１】　　中３数学－二次関数,2013-03-13T04:04:50.000Z,https://www.youtube.com/watch?v=IR5UiEbc01g,0:23:22,【For you 動画】,PLKRhhk0lEyzMDjmvXvqMe3AUfGAMhahrx,0
【中1 数学】中1-79 いろいろな立体,2013-03-13T04:16:08.000Z,https://www.youtube.com/watch?v=SBaHob1H14s,0:17:13,中1-数学 6【空間図形】,PLKRhhk0lEyzPtyD-4IUID-miWCA_ygzbw,
【小６　算数】　　小６－１　　円の面積　・　基本編,2013-03-13T04:02:41Z,https://www.youtube.com/watch?v=RdmV8mYoky8,0:10:09,小学６年生　（算数）,PLKRhhk0lEyzP4XLma3YI8HoE-70Juhzou,
【小５　算数】　　小５－１　　整数と小数①,2013-03-13T04:03:26Z,https://www.youtube.com/watch?v=jjF98aBiO2U,0:11:28,小学５年生　（算数）,PLKRhhk0lEyzOFaQnnnzF9hFOAHUtTVIYF,
【小３　算数】　　小３－１　　かけ算のきまり①,2013-03-13T04:04:09.000Z,https://www.youtube.com/watch?v=RbpOS6lEYEA,0:11:14,小学３年生　（算数）,PLKRhhk0lEyzPrdA1JMey1xNsD4OILrglt,
【算数】小4-1 大きい数のしくみ①,2013-03-13T04:03:58Z,https://www.youtube.com/watch?v=U4nb-1YuSoA,0:12:47,小学４年生　（算数）,PLKRhhk0lEyzPfZ8mqlPHKFngd8LyAk6Ub,
