"対象","科目","No","タイトル","公開日","URL","長さ"
"高校1年","数学","15","対称式の計算","2020-04-21T23:30:04.000Z","https://www.youtube.com/watch?v=iBT6Sw877FA","00:13:58"
"中学3年","国語","2","漢詩 俳句","2020-04-21T23:30:01.000Z","https://www.youtube.com/watch?v=4s_4mbsq2pE","00:14:01"
"中学2年","理科","2","物質のなりたち","2020-04-21T23:30:00.000Z","https://www.youtube.com/watch?v=4o29p8WZyeY","00:11:58"
"中学1年","英語","2","自己紹介(1)","2020-04-21T23:30:02.000Z","https://www.youtube.com/watch?v=fDFUsFJLVKk","00:14:33"
"小学5年","国語","1","敬語の使い方","2020-04-21T23:30:04.000Z","https://www.youtube.com/watch?v=rTjEQ4i7QCQ","00:15:01"
"小学3年","算数","2","九九の表とかけ算","2020-04-21T23:30:00.000Z","https://www.youtube.com/watch?v=gs5Slz28jH8","00:15:01"
"高校1年","数学","14","平方根分母の有理化","2020-04-21T00:00:01.000Z","https://www.youtube.com/watch?v=-_1aZCgfF_8","00:17:11"
"中学3年","理科","2","イオン","2020-04-21T00:00:05.000Z","https://www.youtube.com/watch?v=GhCV23R2yOo","00:14:01"
"中学2年","英語","2","be動詞の過去形","2020-04-21T00:00:07.000Z","https://www.youtube.com/watch?v=W_8ZBig_NBs","00:11:58"
"中学1年","数学","2","絶対値と数の大小","2020-04-21T00:00:02.000Z","https://www.youtube.com/watch?v=4I87AbY3XBw","00:14:33"
"小学6年","外国語","2","自己紹介(2)","2020-04-21T00:00:23.000Z","https://www.youtube.com/watch?v=peuabKiJUpg","00:15:01"
"小学4年","国語","1","つなぎ言葉のはたらきを知ろう","2020-04-21T00:00:09.000Z","https://www.youtube.com/watch?v=j6id68C8LyA","00:15:00"
"小学2年","国語","2","主語と述語に気をつけよう(1)","2020-04-21T00:00:02.000Z","https://www.youtube.com/watch?v=2DHRGZ-XOO0","00:11:18"
"高校1年","英語","5","現在形と現在進行形","2020-04-19T23:30:01.000Z","https://www.youtube.com/watch?v=BVLTd7L6MFc","00:09:00"
"高校1年","英語","4","辞書の活用法","2020-04-19T23:30:04.000Z","https://www.youtube.com/watch?v=mpVcse3WLxs","00:10:08"
"高校1年","数学","13","絶対値","2020-04-19T23:30:00.000Z","https://www.youtube.com/watch?v=9OeFuNU-DpA","00:17:54"
"高校1年","数学","12","循環小数を分数に直す","2020-04-19T23:30:00.000Z","https://www.youtube.com/watch?v=KJ0IzH7mgk4","00:13:15"
"高校1年","数学","11","3次式の展開と因数分解","2020-04-19T23:30:08.000Z","https://www.youtube.com/watch?v=w8NRs7_9z7g","00:13:01"
"中学3年","英語","2","自分の国の紹介","2020-04-19T23:30:00.000Z","https://www.youtube.com/watch?v=0UX6TcuspTo","00:14:35"
"中学2年","数学","2","式の加法、減法","2020-04-19T23:30:02.000Z","https://www.youtube.com/watch?v=wlbLJL7M-xY","00:15:01"
"中学1年","国語","2","話す・聞く・書く","2020-04-19T23:30:04.000Z","https://www.youtube.com/watch?v=mw5uXm-E3UM","00:11:32"
"小学5年","外国語","2","自己紹介(2)","2020-04-19T23:30:00.000Z","https://www.youtube.com/watch?v=0ODq7r0UP-Q","00:15:01"
"小学3年","国語","1","こそあど言葉を使いこなそう","2020-04-19T23:30:04.000Z","https://www.youtube.com/watch?v=Z4bwQIfLcaM","00:11:57"
"小学1年","国語","2","あいさつをしてみよう","2020-04-19T23:30:02.000Z","https://www.youtube.com/watch?v=Vm14jSPl5lE","00:14:39"
"高校1年","数学","9","因数分解(4)次数が等しいとき","2020-04-17T11:23:58.000Z","https://www.youtube.com/watch?v=mS8v2EVuVRM","00:09:39"
"高校1年","数学","8","因数分解(3)次数が異なるとき","2020-04-17T11:24:16.000Z","https://www.youtube.com/watch?v=Wlz1-ojJsFc","00:11:22"
"中学3年","数学","1","式の乗法、除法","2020-04-17T11:24:36.000Z","https://www.youtube.com/watch?v=inBl_auwDjY","00:14:49"
"中学2年","国語","1","古典の復習","2020-04-17T11:24:50.000Z","https://www.youtube.com/watch?v=lJBTddysXwM","00:14:24"
"中学1年","理科","1","身近な生物を観察しよう","2020-04-17T11:25:02.000Z","https://www.youtube.com/watch?v=Izb9BAz_fdk","00:11:22"
