"教材ID","教材シリーズ名","教材種別","対象","科目","提供","提供URL","URL","No","タイトル","公開日","長さ","機材","キーボード","月","単元名","ページ","サイト名","内容","注意事項など","言語","講師","教科"
"1","ふくいわくわく授業","動画","高校1年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=-DXObTgGmwc","3","品詞","2020-04-15T09:27:23.000Z","00:09:36",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=-QCMTiAQeIo","7","因数分解(2)(ax+b)(cx+d)","2020-04-15T09:27:24.000Z","00:14:36",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=svgDv-ncoAY","6","因数分解(1)(x+a)(x+b)","2020-04-15T09:27:23.000Z","00:13:43",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=pQivGGfubxM","5","式の展開の工夫","2020-04-15T09:27:23.000Z","00:10:35",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学3年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=BWJvtuJdJ68","1","古典の復習","2020-04-15T09:27:23.000Z","00:14:45",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学2年","理科","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=Q7ok9YayiA0","1","地層から読み取る大地の変化","2020-04-15T09:27:23.000Z","00:14:46",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学1年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=tEMJhIVZYT0","1","中学校でしたいこと","2020-04-15T09:27:23.000Z","00:08:27",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学5年","算数","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=CEOgvDD1Fnk","1","直方体と立方体","2020-04-15T09:27:23.000Z","00:13:37",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学3年","外国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=US5KCPV-eBQ","1","自己紹介(1)","2020-04-15T09:27:24.000Z","00:10:48",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学1年","算数","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=VPLHk-Ydg9g","1","さんすうをはじめよう","2020-04-15T09:27:23.000Z","00:13:53",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=RiSyTzHTts0","2","英語の語順","2020-04-17T11:28:19.000Z","00:11:39",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=jez2hwMau1M","4","展開の公式","2020-04-17T11:28:29.000Z","00:06:23",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学3年","理科","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=u8jaIYOiMBU","1","発電機のしくみ","2020-04-17T11:28:39.000Z","00:10:35",,,,,,,,,,,
"1","ふくいわくわく授業","動画","中学2年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=DYfwKLbmYzo","1","思い出","2020-04-17T11:28:50.000Z","00:10:20",,,,,,,,,,,
