"タイトル","公開日","URL","長さ","科目","対象","プレイリストタイトル"
"推定・検定入門⑨(ウェルチの検定)/全9講","2019-09-07T13:49:20.000Z","https://www.youtube.com/watch?v=Det2IBRXajc","00:14:43","数学","大人","確率統計"
"最小二乗法(回帰分析)","2018-05-27T14:49:11.000Z","https://www.youtube.com/watch?v=Zz1sgYxrA-k","00:11:26","数学","大人","確率統計"
"チェビシェフの不等式","2018-07-14T13:05:31.000Z","https://www.youtube.com/watch?v=d-ugoDdXWrU","00:17:05","数学","大人","確率統計"
"中心極限定理の気持ち","2018-02-26T18:25:56.000Z","https://www.youtube.com/watch?v=CHOLN1tAJWI","00:07:11","数学","大人","確率統計"
"ベイズの定理","2019-01-10T11:28:22.000Z","https://www.youtube.com/watch?v=oUN_GhB00fU","00:15:55","数学","大人","確率統計"
"ベイジアンネットワーク","2018-02-26T18:25:56.000Z","https://www.youtube.com/watch?v=zYKOL5RpVbo","00:16:08","数学","大人","確率統計"
"ポアソン分布(具体例やその意味、ポアソンの極限定理)","2019-08-29T16:52:00.000Z","https://www.youtube.com/watch?v=1r_tSjZCNzg","00:22:32","数学","大人","確率統計"
"指数分布(具体例やその意味、ポアソン分布との関係)","2019-09-12T07:54:10.000Z","https://www.youtube.com/watch?v=4Y5otbAwGlc","00:24:10","数学","大人","確率統計"
"簡単な計算で物事の終わりの時期を見積もる【ゴットの推定】","2019-12-17T07:00:47.000Z","https://www.youtube.com/watch?v=8cjPClcnv50","00:17:25","数学","大人","確率統計"
"期待値が無限大な賭け(サンクトペテルブルクのパラドックス)","2020-02-13T15:10:20.000Z","https://www.youtube.com/watch?v=B__gzT-rQjw","00:29:35","数学","大人","確率統計"
"教師あり学習と教師なし学習の違い","2020-03-31T14:28:20.000Z","https://www.youtube.com/watch?v=U8uqieKYtY4","00:15:51","数学","大人","確率統計"
"深層学習(ディープラーニング)とは何か","2020-04-15T16:05:52.000Z","https://www.youtube.com/watch?v=s5_Pk3CjhNA","00:19:47","数学","大人","確率統計"
"【1分解説】sin15°の図形的な求め方【数学雑学】","2018-01-22T05:27:39.000Z","https://www.youtube.com/watch?v=iMVChD17bIM","00:00:50","数学","高校生","1分解説"
"【1分解説】光触媒としての酸化チタン(Ⅳ)【受験化学+α】","2018-01-22T05:27:39.000Z","https://www.youtube.com/watch?v=uRMjKD8aRqs","00:00:52","化学","高校生","1分解説"
"【1分解説】定圧変化じゃないのにW=pΔV？【受験物理+α】","2018-01-23T10:27:46.000Z","https://www.youtube.com/watch?v=Xd1zrUDssXc","00:00:45","物理","高校生","1分解説"
"【1分解説】放射性崩壊と微分方程式【受験化学+α】","2018-01-27T10:37:22.000Z","https://www.youtube.com/watch?v=UqPZaP75tt8","00:00:50","数学","高校生","1分解説"
"【1分解説】時代を変えた反応「無機物から有機物へ」(ヴェーラー合成)【受験化学+α】","2018-02-01T17:17:18.000Z","https://www.youtube.com/watch?v=Vq1bIKGdpxc","00:00:58","化学","高校生","1分解説"
"【1分解説】単位の接頭辞(ナノ、メガ、ギガなど)【科学雑学】","2018-02-07T10:39:45.000Z","https://www.youtube.com/watch?v=6xZXUcZqmdo","00:00:58","数学","高校生","1分解説"
"【1分解説】四つの力(基本相互作用)【受験物理+α】","2018-02-13T01:12:54.000Z","https://www.youtube.com/watch?v=zl3RJ9IkBzE","00:00:56","物理","高校生","1分解説"
"【1分解説】飛行機はなぜ飛ぶのか？【物理雑学】","2018-02-18T09:10:48.000Z","https://www.youtube.com/watch?v=rwEf03f63Bw","00:00:56","物理","高校生","1分解説"
"【1分解説】空はなぜ青いのか？【物理雑学】","2018-02-22T02:03:24.000Z","https://www.youtube.com/watch?v=-A7vaqdr2NU","00:01:00","物理","高校生","1分解説"
"【1分解説】夕焼けはなぜ赤いのか？【物理雑学】","2018-03-06T11:07:12.000Z","https://www.youtube.com/watch?v=bchPXhDR8ho","00:00:47","物理","高校生","1分解説"
"【1分解説】虚像はなぜ見える【高校物理+α】","2018-04-24T10:03:00.000Z","https://www.youtube.com/watch?v=fcovX730ulw","00:00:59","物理","高校生","1分解説"
"群がどうしても分からない君へ(群論超入門)","2017-11-20T16:09:10Z","https://www.youtube.com/watch?v=eKg--UMWFZc","00:23:29","数学","大人","代数学"
"はじめに(魔法の計算テクニック)【インド式計算】","2017-11-02T17:28:12.000Z","https://www.youtube.com/watch?v=FJnp_AIiBus","00:07:42","数学","大人","インド式計算"
"十の位が同じで一の位の和が10のかけ算【インド式計算】","2017-11-02T17:28:23.000Z","https://www.youtube.com/watch?v=yzOeR8dVFP0","00:09:18","数学","大人","インド式計算"
"11から19までの数どうしのかけ算【インド式計算】","2017-11-20T16:07:16.000Z","https://www.youtube.com/watch?v=sZ5NARuVFXs","00:07:57","数学","大人","インド式計算"
"2桁の数の三乗【インド式計算】","2017-12-01T16:10:29.000Z","https://www.youtube.com/watch?v=uXoGTRA_RrA","00:13:12","数学","大人","インド式計算"
"一の位が同じで十の位の和が10のかけ算【インド式計算】","2017-12-31T10:47:24.000Z","https://www.youtube.com/watch?v=IW-yoPOz7ds","00:08:31","数学","大人","インド式計算"
"9が連続する数とのかけ算【インド式計算】","2018-02-14T23:34:20.000Z","https://www.youtube.com/watch?v=RcSctGDmNdc","00:08:08","数学","大人","インド式計算"
"11とのかけ算【インド式計算】","2018-05-09T12:04:42.000Z","https://www.youtube.com/watch?v=BiQMkQPkNe4","00:07:38","数学","大人","インド式計算"
"線を描くだけ！万能視覚的かけ算【インド式計算】","2019-11-02T09:00:24.000Z","https://www.youtube.com/watch?v=Sj6Y43D76GA","00:08:14","数学","大人","インド式計算"
"ナビエストークス方程式①(数学的・物理的意味)/全4回","2017-09-23T16:09:12.000Z","https://www.youtube.com/watch?v=MZg0ikSqcvA","00:11:40","数学","大人","流体力学"
"ナビエストークス方程式②(物質微分)/全4回","2017-09-28T11:02:37.000Z","https://www.youtube.com/watch?v=7wuIMKUNZwk","00:11:48","数学","大人","流体力学"
"ナビエストークス方程式③(圧力・外力)/全4回","2017-10-03T11:07:29.000Z","https://www.youtube.com/watch?v=ggDaJD54RkY","00:09:53","物理","大人","流体力学"
"ナビエストークス方程式④(粘性力)/全4回","2017-10-08T15:46:01.000Z","https://www.youtube.com/watch?v=j7GSz9SxkZQ","00:29:18","物理","大人","流体力学"
"ミカエリス・メンテン式","2017-09-01T04:54:47.000Z","https://www.youtube.com/watch?v=As2tJkPpuXY","00:17:27","化学","大人","大学化学&大学生物"
"ルイスの定義","2018-03-15T08:15:20.000Z","https://www.youtube.com/watch?v=H5vsDh1fMYc","00:10:46","化学","大人","大学化学&大学生物"
"物理みたいな生物やろう！システム生物学①(遺伝子制御)","2019-11-18T15:29:30.000Z","https://www.youtube.com/watch?v=p6NM8-PNndY","00:31:30","物理","大人","大学化学&大学生物"
"生体内のフィードバック機構？システム生物学②(負の自己制御)","2019-11-24T11:15:14.000Z","https://www.youtube.com/watch?v=KxD8l69TSbM","00:23:54","化学","大人","大学化学&大学生物"
"なぜ餌のある方へ寄っていける？システム生物学③(大腸菌の走化性)","2019-12-02T10:31:45.000Z","https://www.youtube.com/watch?v=uISQmsn6PNc","00:30:58","化学","大人","大学化学&大学生物"
"ノイズ環境下でも生物はなぜ強い？システム生物学④(動力学的校正)","2019-12-05T17:07:09.000Z","https://www.youtube.com/watch?v=iHJ_VCNRMWI","00:31:48","物理","大人","大学化学&大学生物"
"電子配置の基本(電子軌道、電子スピンなど)","2020-01-09T09:43:13.000Z","https://www.youtube.com/watch?v=I_fTR-0TZ4o","00:16:45","物理","大人","大学化学&大学生物"
"「利己的な遺伝子」とは何か","2020-04-03T09:51:44.000Z","https://www.youtube.com/watch?v=MWCkiNL7AbU","00:31:57","化学","大人","大学化学&大学生物"
"マクスウェル方程式の意味","2017-08-09T19:44:21.000Z","https://www.youtube.com/watch?v=Yjso-2cL5SY","00:12:55","物理","大人","電磁気学"
"div(発散)の意味","2017-08-03T06:55:20.000Z","https://www.youtube.com/watch?v=ZS51xsn7onA","00:15:32","数学","大人","ベクトル解析"
"grad(勾配)の意味","2017-08-06T13:28:21.000Z","https://www.youtube.com/watch?v=p7hEoWv7pp4","00:14:07","数学","大人","ベクトル解析"
"rot(回転)の意味","2018-01-25T16:26:33.000Z","https://www.youtube.com/watch?v=JjdmVjQSKkA","00:11:23","数学","大人","ベクトル解析"
"テイラー展開の気持ち","2017-08-02T17:39:32.000Z","https://www.youtube.com/watch?v=qzd5iXKHkiU","00:17:16","数学","大人","解析学"
"偏微分とは何か","2018-11-14T14:58:35.000Z","https://www.youtube.com/watch?v=UWFTIEIruyc","00:18:31","数学","大人","解析学"
"全微分とは何か","2018-11-28T10:42:08.000Z","https://www.youtube.com/watch?v=ChoArVJnSjQ","00:11:56","数学","大人","解析学"
"ε-δ論法(関数の連続性)","2018-05-06T15:24:02.000Z","https://www.youtube.com/watch?v=t3JPms8Y1l4","00:07:47","数学","大人","解析学"
"ガウス積分の証明","2017-09-09T11:17:15.000Z","https://www.youtube.com/watch?v=TvZpbYRIh48","00:12:22","数学","大人","解析学"
"ガウス積分の類似形","2017-09-12T06:40:12.000Z","https://www.youtube.com/watch?v=u6sBzqF8gWI","00:20:17","数学","大人","解析学"
"双曲線関数とは何か","2017-10-15T13:21:31.000Z","https://www.youtube.com/watch?v=Yvcngy6xtio","00:13:44","数学","大人","解析学"
"逆三角関数とは何か","2018-08-02T16:01:49.000Z","https://www.youtube.com/watch?v=wAwVmQSaiuk","00:14:28","数学","大人","解析学"
"3次元極座標(球座標)","2018-01-21T20:30:49.000Z","https://www.youtube.com/watch?v=5qXMuaWe-HA","00:07:32","数学","大人","解析学"
"立体角(3次元における角度)","2017-12-17T09:54:31.000Z","https://www.youtube.com/watch?v=aNoEzONgIYo","00:14:39","数学","大人","解析学"
"ウォリスの積分公式","2018-02-09T16:53:32.000Z","https://www.youtube.com/watch?v=KtFzNVs2y8k","00:10:06","数学","大人","解析学"
