"タイトル","公開日","URL","長さ","ptitle","playlistId"
"【はいちのだらだラジオ/313回】","2020-03-29T07:21:17.000Z","https://www.youtube.com/watch?v=sr3JLdjVzT4","00:14:21","だらだラジオ(2020年)","PLKRhhk0lEyzOI1lNTptC8kj53CnF4FAeR"
"【はいちのだらだラジオ/314回】","2020-04-12T10:40:47.000Z","https://www.youtube.com/watch?v=olomHFcGEuI","00:12:33","だらだラジオ(2020年)","PLKRhhk0lEyzOI1lNTptC8kj53CnF4FAeR"
"恋愛でも勉強でも立ちはだかる3ヶ月の壁【はいちのだらだラジオ/第315回】","2020-04-19T10:50:38.000Z","https://www.youtube.com/watch?v=8b6-RfLZ1FM","00:11:24","だらだラジオ(2020年)","PLKRhhk0lEyzOI1lNTptC8kj53CnF4FAeR"
"【教育YouTuberが歌う】3月9日/レミオロメン","2020-03-05T06:09:57.000Z","https://www.youtube.com/watch?v=auNid4RP-BQ","00:04:23","【1年に1度の歌ってみた】","PLKRhhk0lEyzMCkKwuv0hBr3Rj7DjjAFUc"
"【教育YouTuberが歌う】正解/RADWIMPS","2020-03-05T06:11:12.000Z","https://www.youtube.com/watch?v=QVCu2Ij3OF4","00:06:03","【1年に1度の歌ってみた】","PLKRhhk0lEyzMCkKwuv0hBr3Rj7DjjAFUc"
"【高校受験対策/数学/難解死守1】","2020-01-19T09:39:18.000Z","https://www.youtube.com/watch?v=XI3xN57xT-k","00:19:58","高校受験対策-数学10【難解死守】","PLKRhhk0lEyzM3HJqYr0bpg8x5cp9qwIpt"
"【高校受験対策/数学/難解死守2】","2020-01-19T09:39:52.000Z","https://www.youtube.com/watch?v=WTX527KTLDU","00:24:14","高校受験対策-数学10【難解死守】","PLKRhhk0lEyzM3HJqYr0bpg8x5cp9qwIpt"
"【高校受験対策/数学】難解死守4","2020-02-06T01:17:08.000Z","https://www.youtube.com/watch?v=ufPkaPU-ZI4","00:22:26","高校受験対策-数学10【難解死守】","PLKRhhk0lEyzM3HJqYr0bpg8x5cp9qwIpt"
"【社会】　　地理－２８　　時差について","2019-11-22T06:39:19.000Z","https://www.youtube.com/watch?v=knyYhP1SVM4","00:16:19","時差に悩んでいる方はこちら","PLKRhhk0lEyzPc1OCVPmKsRAbmdazIVBmL"
"【発展】時差と飛行機の移動時間が混ざった問題","2019-11-22T06:42:08.000Z","https://www.youtube.com/watch?v=m1YXW7mNk5k","00:13:49","時差に悩んでいる方はこちら","PLKRhhk0lEyzPc1OCVPmKsRAbmdazIVBmL"
"【特訓】時差問題のレベルアップしたい方へ","2019-11-23T22:45:41.000Z","https://www.youtube.com/watch?v=uVLHWxlA7LQ","00:20:48","時差に悩んでいる方はこちら","PLKRhhk0lEyzPc1OCVPmKsRAbmdazIVBmL"
"【数Ⅲ-133】不定積分①(準備運動編)","2019-05-21T07:21:20.000Z","https://www.youtube.com/watch?v=UR_0KBx914k","00:12:58","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-134】不定積分②(三角関数編)","2019-05-21T07:21:20.000Z","https://www.youtube.com/watch?v=4Os4lVAdpWU","00:10:27","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-135】不定積分③(指数関数編)","2019-05-21T07:21:20.000Z","https://www.youtube.com/watch?v=v6bvl9j6hSQ","00:08:52","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-136】置換積分①","2019-05-21T07:21:20.000Z","https://www.youtube.com/watch?v=WCtHTRrG4A4","00:11:27","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-137】置換積分②","2019-05-21T07:21:20.000Z","https://www.youtube.com/watch?v=HaSJW-cCN1o","00:13:55","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-138】置換積分③","2019-05-21T07:21:20.000Z","https://www.youtube.com/watch?v=whYpxlPogx8","00:12:18","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-139】部分積分①","2019-05-22T05:03:58.000Z","https://www.youtube.com/watch?v=1DEDCo7_90c","00:13:55","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-140】部分積分②","2019-05-25T04:52:15.000Z","https://www.youtube.com/watch?v=Sa-HS-p1VW4","00:10:32","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-141】分数関数の積分①","2019-05-28T08:19:50.000Z","https://www.youtube.com/watch?v=yzDaLUHBAIE","00:15:55","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-142】分数関数の積分②","2019-05-29T06:26:00.000Z","https://www.youtube.com/watch?v=fEqAvNs1ebQ","00:17:00","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-143】三角関数の積分①","2019-06-05T05:06:25.000Z","https://www.youtube.com/watch?v=Pc3t95201jU","00:11:44","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-144】三角関数の積分②","2019-06-06T05:26:15.000Z","https://www.youtube.com/watch?v=BaZKB0mfFUQ","00:11:29","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-145】指数関数・対数関数の積分","2019-06-11T07:51:12.000Z","https://www.youtube.com/watch?v=o1oskOF_WRM","00:16:32","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-146】積分特訓①","2019-06-25T07:58:36.000Z","https://www.youtube.com/watch?v=LtsHXyR0YbE","00:16:21","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-147】積分特訓②","2019-06-26T15:36:04.000Z","https://www.youtube.com/watch?v=NQpPAn1yw10","00:15:11","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-148】積分特訓③","2019-06-27T05:12:13.000Z","https://www.youtube.com/watch?v=LqObqFH5jm8","00:22:42","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-149】定積分①(基本編)","2019-07-03T02:12:32.000Z","https://www.youtube.com/watch?v=QyoCPb51qmU","00:12:39","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-150】定積分②(絶対値編)","2019-07-14T06:05:41.000Z","https://www.youtube.com/watch?v=kiSs8R86rIM","00:16:49","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-151】定積分③(レベルアップ編)","2019-07-15T06:19:26.000Z","https://www.youtube.com/watch?v=mhxJl9VwI9E","00:16:29","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"【数Ⅲ-152】定積分の置換積分法①","2019-08-07T04:58:07.000Z","https://www.youtube.com/watch?v=h38ca0t-zjk","00:15:58","高校(数Ⅲ)5【積分】","PLKRhhk0lEyzPGgaaiSISLGuSqX3eOxuAu"
"凡人だけど凡人だから【はいちのだらだラジオ/270回】","2019-01-13T10:51:30.000Z","https://www.youtube.com/watch?v=5mwVOzLl5eQ","00:12:42","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"SNSのプチ断食をした結果【はいちのだらだラジオ/271回】","2019-01-20T11:00:38.000Z","https://www.youtube.com/watch?v=mdbH-dJPLGo","00:08:50","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"コラボの裏側～対決はなお編～【はいちのだらだラジオ/272回】","2019-01-27T09:50:50.000Z","https://www.youtube.com/watch?v=LuBCNweF40I","00:08:55","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"もう2月10日とか笑えない【はいちのだらだラジオ/273回】","2019-02-10T10:59:06.000Z","https://www.youtube.com/watch?v=v6WnPax4x1g","00:13:24","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"彼は何を思っているのでしょう【はいちのだらだラジオ/274回】","2019-02-23T22:49:14.000Z","https://www.youtube.com/watch?v=m1VcriljCrY","00:11:34","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"高３でボランティアを始めた理由【はいちのだらだラジオ/275回】","2019-03-03T10:53:12.000Z","https://www.youtube.com/watch?v=TcgFb0E01xU","00:10:17","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"私の平成物語【はいちのだらだラジオ/276回】","2019-03-31T11:06:33.000Z","https://www.youtube.com/watch?v=JYsKQnWMbZE","00:11:02","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"再生回数VSこだわり【はいちのだらだラジオ/第277回】","2019-04-07T11:00:43.000Z","https://www.youtube.com/watch?v=nLE4yUby9bc","00:14:41","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"スクランブル交差点で寝る!?【はいちのだらだラジオ/278回】","2019-04-14T10:59:55.000Z","https://www.youtube.com/watch?v=_iLH2Xdix-w","00:13:06","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"過去は変えられる【はいちのだらだラジオ/第279回】","2019-04-21T11:01:13.000Z","https://www.youtube.com/watch?v=oT9Vc7q_qxk","00:11:24","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"俺の夢【はいちのだらだラジオ/280回】","2019-04-30T10:56:15.000Z","https://www.youtube.com/watch?v=-sa8X6JH4Tw","00:12:55","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"今の教育YouTuberについて【はいちのだらだラジオ/第281回】","2019-05-06T11:02:13.000Z","https://www.youtube.com/watch?v=FVYNLA3VIdI","00:16:37","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"なぜ？どうやって？いつまでに？【はいちのだらだラジオ/282回】","2019-05-19T10:55:31.000Z","https://www.youtube.com/watch?v=pOoFP-l2M8s","00:11:43","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"私はうまく笑えていますか【はいちのだらだラジオ/283回】","2019-05-26T10:45:11.000Z","https://www.youtube.com/watch?v=CadLPcmX9Es","00:15:06","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"認めてもらえる嬉しさ【だらだラジオ/第284回】","2019-06-09T09:55:00.000Z","https://www.youtube.com/watch?v=9t5ecNzRW44","00:14:40","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"勝ち負けの一歩先【はいちのだらだラジオ/285回】","2019-06-16T11:02:06.000Z","https://www.youtube.com/watch?v=OiadRbCf0PM","00:13:42","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"教育は答えがないから面白い【はいちのだらだラジオ/287回】","2019-07-07T01:01:15.000Z","https://www.youtube.com/watch?v=X8qb3HWB2QQ","00:10:33","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"YouTubeが嫌いになる前に【はいちのだらだラジオ/289回】","2019-07-21T06:29:24.000Z","https://www.youtube.com/watch?v=5OQH2A1DVao","00:11:40","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"この人生で出来ること【はいちのだらだラジオ/290回】","2019-08-13T05:50:11.000Z","https://www.youtube.com/watch?v=81Q9w-PDDUA","00:19:37","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"この世界は立ち止まることを許してはくれない【はいちのだらだラジオ/291回】","2019-08-17T15:26:33.000Z","https://www.youtube.com/watch?v=US9vNfJeJSc","00:13:20","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"生きる意味なんてどこにも落ちてなかった【はいちのだらだラジオ/292回】","2019-09-01T11:34:17.000Z","https://www.youtube.com/watch?v=gKsn1OdBmQA","00:16:21","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"きみのために、を振りかざす人がぼくはきらいだ【はいちのだらだラジオ/293回】","2019-09-22T03:33:13.000Z","https://www.youtube.com/watch?v=kbqYm7onN_Q","00:08:23","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"【はいちのだらだラジオ/294回】","2019-09-29T11:14:52.000Z","https://www.youtube.com/watch?v=idQr6ya6Hy0","00:11:19","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"【はいちのだらだラジオ/295回】","2019-10-06T10:16:25.000Z","https://www.youtube.com/watch?v=aPfjmsTiVO0","00:08:10","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"言いたいことも言えないこんな世の中じゃ【はいちのだらだラジオ/第296回】","2019-10-27T10:18:58.000Z","https://www.youtube.com/watch?v=xlklJ5EGW9I","00:10:22","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"求めたのは音の無い世界【はいちのだらだラジオ/297回】","2019-11-10T10:14:07.000Z","https://www.youtube.com/watch?v=hivpfGEg-lU","00:10:21","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"親の言うことが正義とは限らない【はいちのだらだラジオ/299回】","2019-11-24T02:07:21.000Z","https://www.youtube.com/watch?v=clFhpsncnEo","00:14:32","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"葉一と葉二【はいちのだらだラジオ/300回】","2019-12-02T07:19:28.000Z","https://www.youtube.com/watch?v=NX5gGML91xc","00:10:10","だらだラジオ(2019年)","PLKRhhk0lEyzOu1tFmDO4-AHjw5S0vhIB4"
"【予告】冬期講習始まります","2018-12-28T19:08:27.000Z","https://www.youtube.com/watch?v=9S-c7JXBioQ","00:01:43","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【12/25】中３冬特訓１日目","2018-12-28T19:08:53.000Z","https://www.youtube.com/watch?v=7Ww0g9nt2lk","00:15:00","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【12/26】中３冬特訓２日目","2018-12-28T19:08:53.000Z","https://www.youtube.com/watch?v=0tZS_azf5f0","00:13:32","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【12/27】中３冬特訓３日目","2018-12-28T19:08:53.000Z","https://www.youtube.com/watch?v=BfluqVLQHgE","00:13:25","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【12/28】中３冬特訓４日目","2018-12-28T19:08:53.000Z","https://www.youtube.com/watch?v=S2JAZk3h8-M","00:16:37","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【12/29】中３冬特訓５日目","2018-12-28T19:08:27.000Z","https://www.youtube.com/watch?v=ZVbsk9UYkS8","00:15:58","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【トンネル】中３冬特訓(特別編)","2018-12-28T19:08:53.000Z","https://www.youtube.com/watch?v=U-cXlPvnHKM","00:11:18","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【12/30】中３冬特訓６日目","2018-12-29T18:54:45.000Z","https://www.youtube.com/watch?v=vzsqhfYBMkQ","00:14:31","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【割合難問】中３冬特訓(特別編)","2018-12-30T10:10:54.000Z","https://www.youtube.com/watch?v=D2wV5gdyDT8","00:12:31","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【12/31】中３冬特訓７日目","2018-12-30T19:38:28.000Z","https://www.youtube.com/watch?v=2jTyNGYLu9E","00:14:03","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【1/1】中３冬特訓８日目","2018-12-31T22:35:11.000Z","https://www.youtube.com/watch?v=EShTxJ6lV6M","00:21:27","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【1/2】中３冬特訓９日目","2019-01-01T18:31:08.000Z","https://www.youtube.com/watch?v=eevkJ11sjRI","00:12:08","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【1/3】中３冬特訓１０日目","2019-01-02T16:45:02.000Z","https://www.youtube.com/watch?v=Ejuu30H0Rhs","00:12:00","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【1/4】中３冬特訓１１日目","2019-01-03T21:16:05.000Z","https://www.youtube.com/watch?v=F2FKdFcwZME","00:10:48","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【1/5】中３冬特訓１２日目【1/7終了】","2019-01-04T14:53:58.000Z","https://www.youtube.com/watch?v=8N1UtY77BY8","00:12:25","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【1/6】中３冬特訓１３日目","2019-01-05T13:59:07.000Z","https://www.youtube.com/watch?v=sdMAx30i5FU","00:12:51","【冬期講習/2018-2019】","PLKRhhk0lEyzMxrFjScmgaU7ax0gvXjvlG"
"【生勉強/24:00まで】一緒に勉強しませんか？","2018-09-20T02:48:55.000Z","https://www.youtube.com/watch?v=cfDFHUmG5vY","01:00:36","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【生勉強/23:10まで】一緒に勉強しませんか？","2018-09-20T02:48:55.000Z","https://www.youtube.com/watch?v=EB2wY8LBJjU","01:01:05","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【生勉強/24:00まで】一緒に勉強しませんか？","2018-09-24T03:35:17.000Z","https://www.youtube.com/watch?v=anw7nuINWIU","01:00:47","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【生勉強/23:00まで】一緒に勉強しませんか？","2018-09-25T01:41:06.000Z","https://www.youtube.com/watch?v=m5tMXr1Orm8","00:59:41","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【生勉強/24:00まで】","2018-09-26T01:53:32.000Z","https://www.youtube.com/watch?v=LXSuDg9HVCY","01:01:00","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【生勉強/24:00まで】一緒に勉強しませんか？","2018-09-29T11:55:09.000Z","https://www.youtube.com/watch?v=_Mt8iP88kq4","01:00:47","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【生勉強/24:00まで】一緒に勉強しませんか？【10/1放送分】","2018-10-04T04:31:40.000Z","https://www.youtube.com/watch?v=wKletcjiU64","01:00:10","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【生勉強/24:00まで/45分間】一緒に勉強しませんか？(10/2放送分)","2018-10-08T06:59:07.000Z","https://www.youtube.com/watch?v=qNS9yJw1CTg","00:44:15","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【生勉強/60分】一緒に勉強しませんか？(10/3放送分)","2018-10-10T03:57:01.000Z","https://www.youtube.com/watch?v=0lM0kt2H2wg","00:58:25","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【生勉強/BGM有/60分】一緒に勉強しませんか？","2018-10-10T04:28:42.000Z","https://www.youtube.com/watch?v=waqImy8GaII","01:00:08","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【4時間耐久勉強】GWの課題は先に倒しちゃおう？","2019-04-27T05:40:04.000Z","https://www.youtube.com/watch?v=3V3oy5iyYRg","04:12:11","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【1時間/作業用】夏休みがんばっていきまっしょい","2019-08-03T05:52:34.000Z","https://www.youtube.com/watch?v=uSXhMHoMGRI","01:00:32","【生勉強】一緒に勉強しませんか？","PLKRhhk0lEyzOfID5qDvdjvKbBGSODJaYa"
"【ガイダンス】高校受験対策(歴史)について","2018-09-06T09:11:17.000Z","https://www.youtube.com/watch?v=VDxP2OUrE-Y","00:05:10","高校受験対策 歴史","PLKRhhk0lEyzNa3QmWDAw57-lOJJkP3zWG"
"【高校受験対策】歴史１","2018-09-06T10:06:05.000Z","https://www.youtube.com/watch?v=h-vd71RWLMk","00:13:14","高校受験対策 歴史","PLKRhhk0lEyzNa3QmWDAw57-lOJJkP3zWG"
"【高校受験対策】歴史２(勉強法の説明あり)","2018-09-10T07:53:41.000Z","https://www.youtube.com/watch?v=js_R3T7TD4s","00:18:17","高校受験対策 歴史","PLKRhhk0lEyzNa3QmWDAw57-lOJJkP3zWG"
"【高校受験対策】歴史３","2018-09-20T00:54:10.000Z","https://www.youtube.com/watch?v=MDY6yNiaPns","00:18:57","高校受験対策 歴史","PLKRhhk0lEyzNa3QmWDAw57-lOJJkP3zWG"
"【高校受験対策】歴史ー４","2018-09-22T09:17:02.000Z","https://www.youtube.com/watch?v=IPd3i106-I8","00:12:51","高校受験対策 歴史","PLKRhhk0lEyzNa3QmWDAw57-lOJJkP3zWG"
"【高校受験対策】歴史－５","2018-10-03T02:02:33.000Z","https://www.youtube.com/watch?v=GFsgN7QonIQ","00:16:10","高校受験対策 歴史","PLKRhhk0lEyzNa3QmWDAw57-lOJJkP3zWG"
"四大文明1(5問)【歴史1/さくっ答シリーズ】","2018-07-22T00:57:47Z","https://www.youtube.com/watch?v=5M8wY8FBeXE","00:01:08","【歴史/さくっ答シリーズ】","PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk"
"四大文明2(7問)【歴史2/さくっ答シリーズ】","2018-07-22T00:57:47Z","https://www.youtube.com/watch?v=qpTK2OENEhY","00:01:59","【歴史/さくっ答シリーズ】","PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk"
"四大文明3(5問)【歴史3/さくっ答シリーズ】","2018-07-22T21:21:12Z","https://www.youtube.com/watch?v=ytpWmvYx7bc","00:01:34","【歴史/さくっ答シリーズ】","PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk"
"四大文明4(11問)【歴史4/さくっ答シリーズ】","2018-07-23T22:47:51Z","https://www.youtube.com/watch?v=LPZi8tG9Xko","00:02:51","【歴史/さくっ答シリーズ】","PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk"
"ギリシャ・ローマの文明(5問)【歴史5/さくっ答シリーズ】","2018-07-24T22:04:59Z","https://www.youtube.com/watch?v=gZfPXt1kHL4","00:01:34","【歴史/さくっ答シリーズ】","PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk"
"三大宗教(7問)【歴史6/さくっ答シリーズ】","2018-07-25T22:59:52Z","https://www.youtube.com/watch?v=RtnOL2NEExY","00:01:58","【歴史/さくっ答シリーズ】","PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk"
"縄文時代(9問)【歴史7/さくっ答シリーズ】","2018-07-26T22:04:09Z","https://www.youtube.com/watch?v=aSH1QN6gUC0","00:02:24","【歴史/さくっ答シリーズ】","PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk"
"弥生時代(7問)【歴史8/さくっ答シリーズ】","2018-07-27T23:56:43Z","https://www.youtube.com/watch?v=5zS9J7Wg20M","00:01:58","【歴史/さくっ答シリーズ】","PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk"
"女王現る(5問)【歴史9/さくっ答シリーズ】","2018-07-28T22:40:31Z","https://www.youtube.com/watch?v=HhGt2U_R6YQ","00:01:33","【歴史/さくっ答シリーズ】","PLKRhhk0lEyzM4kug4oYKKdbG-MG-SVBzk"
